Sold-to party,Purchase order date,Sale Amount,Product Name/ID
1039952,10/3/2019,6137.84,20329321
1041861,10/4/2019,84.2,209747-101
1023007,10/3/2019,5431.88,207326-02
1023007,10/3/2019,5431.88,207576-01
1015121,10/3/2019,29.5,21210874
1023007,10/3/2019,5431.88,2200-66700-019
1021188,10/3/2019,84.84,207576-01
1007885,10/4/2019,41.76,21210892
1007369,10/3/2019,10.44,21210892
1016429,10/3/2019,18.46,232253
1020659,10/3/2019,250.7,20351063
1016429,10/3/2019,18.46,292473J
1016429,10/3/2019,18.46,292480
1010577,10/3/2019,15.66,21210892
1010435,10/3/2019,413,21210874
1017980,10/3/2019,63.54,275659
1016874,10/3/2019,2687.44,206110-101
1023007,10/4/2019,314.52,207576-01
1024638,10/3/2019,1103.98,249513
1040627,10/3/2019,33605.69,20351207
1016874,10/3/2019,2687.44,202652-02
1040627,10/3/2019,33605.69,20952075
1019337,10/3/2019,89.08,207576-01
1017437,10/3/2019,29144,10094
1020471,10/3/2019,136.7,201081-01
1023007,10/3/2019,503.23,207576-01
1017437,10/3/2019,29144,10094
1023007,10/3/2019,3399.58,207576-01
1023007,10/3/2019,3399.58,2200-66700-019
1024638,10/3/2019,1103.98,238579J
1040627,10/3/2019,33605.69,20952054
1007523,10/4/2019,228.8,21210892
1037515,10/3/2019,1380,2200-48500-025
1040627,10/3/2019,33605.69,20351208
1009326,10/4/2019,20.88,21210892
1040627,10/3/2019,33605.69,20952053
1024638,10/3/2019,1103.98,231923J
1010291,10/3/2019,18.9,21267538
1040627,10/3/2019,33605.69,20952076
1040627,10/3/2019,33605.69,20351009
1009326,10/4/2019,108,21267538
1024638,10/3/2019,1103.98,239890J
1040627,10/3/2019,33605.69,20952055
1040627,10/3/2019,33605.69,20952176
1010245,10/3/2019,62.1,21267538
1040627,10/3/2019,33605.69,20952156
1009258,10/3/2019,936,21267538
1007429,10/7/2019,37.47,2200-48560-012
1024638,10/3/2019,1103.98,242237J
1007429,10/7/2019,37.47,2200-48560-012
1009326,10/4/2019,201.6,21267538
1007429,10/7/2019,37.47,2200-48560-012
1007429,10/7/2019,37.47,2200-48560-012
1030343,10/3/2019,459.32,209745-101
1024638,10/3/2019,1103.98,239095
1007531,10/3/2019,1995,21210874
1020869,10/3/2019,4575.78,293668
1023007,10/3/2019,4614.77,207576-01
1007531,10/3/2019,975,21210969
1023007,10/3/2019,4614.77,2200-66700-019
1009326,10/4/2019,201.6,21210892
1007677,10/3/2019,45.9,21267538
1007677,10/3/2019,229.9,21210892
1007429,10/4/2019,1872.57,2200-48450-025
1024638,10/3/2019,1103.98,253606
1009326,10/4/2019,10.84,21267538
1007429,10/4/2019,1872.57,2200-48450-025
1007429,10/4/2019,1000.16,2200-48500-025
1007429,10/4/2019,1872.57,2200-66070-001
1007429,10/4/2019,1000.16,2200-48500-025
1009326,10/4/2019,13.5,21267538
1007429,10/4/2019,1872.57,2200-66070-001
1007429,10/4/2019,207.65,2200-48450-025
1009326,10/4/2019,29.7,21267538
1007429,10/4/2019,207.65,2200-48450-025
1016429,10/3/2019,459.63,271632
1024638,10/3/2019,228.6,239005
1021188,10/3/2019,2000,207576-01
1020034,10/3/2019,7566.4,2200-63880-101
1010438,10/4/2019,262.08,21210892
1039952,10/3/2019,339.2,20952078
1010533,10/4/2019,159.6,21210874
1010438,10/4/2019,41.76,21210892
1022092,10/3/2019,33.65,275618
1010533,10/4/2019,14.8,21210874
1005696,10/3/2019,57.12,21267538
1021258,10/3/2019,36.74,209747-101
1010249,10/4/2019,930.92,21210874
1005696,10/3/2019,211.38,21267538
1007429,10/7/2019,37.47,2200-48560-012
1007424,10/4/2019,354,21210874
1007429,10/7/2019,37.47,2200-48560-012
